delivery_hub,orders
B.baria-Nasirnagar,33
Noakhali-Subarnachar,32
Coxsbazar-Teknaf,32
Rangpur-Badarganj,32
Lalmonirhat-Patgram,31
Chapai- Kansat,31
Jamalpur-Madarganj,30
Moulvibazar-Barlekha,29
Sunamganj-Bishwabvarpur,28
Dinajpur-Parbatipur,28
Barguna-Patharghata,25
Faridpur-Madhukhali,24
Sylhet-Jaintapur,24
Natore-Singra,23
Sylhet-Kanaighat,23
Khulna-Paikgacha,23
Jhalokathi-Rajapur,23
Habiganj-Azmiriganj,22
Barishal-Saheber Hat,22
Moulvibazar-Rajnagar,22
Naogaon-Manda,21
Mymensingh Muktagacha,21
Kurigram-Rowmari,20
Cox's Bazar-Kutubdia,19
Khagrachori-Matiranga,19
Barishal-Hizla,19
Patuakhali-Kuakata,16
B.Baria-Bijaynagar,15
Sylhet-Zakiganj,14
Sunamganj-Jamalganj,13
Sunamganj-Derai,13
Chittagong-Baraiyarhat,12
Mymensingh Shambhuganj,11
Sylhet-Companiganj,9
Jamalpur Melandaha,9
Panchagarh-Tetulia,7
Bandarban-Lama,6
Cox's Bazar-Eidgaon,3
Mymensingh Fulbaria,3
Naogaon-Sapahar,2
Bogra-Dupchanchia,2
Sylhet-Bishwanath,1
Khagrachori-Manikchori,1
Sylhet-Gowainghat,1
