pickup_hub,orders
Chandpur-Matlab,9
Coxsbazar-Teknaf,9
Gopalganj-Muksudpur,9
Pirojpur-Bhandaria,9
Pirojpur-Mathbaria,8
Netrokona-Kendua,8
B.Baria-Ashuganj,8
Faridpur-Nagarkanda,8
Cumilla-Meghna,7
Barishal-Saheber Hat,6
Panchagarh-Tetulia,6
Barguna-Amtali,5
Sylhet-Companiganj,5
Chapai-Rohonpur,5
Jamalpur-Madarganj,5
On-Demand,5
Pirojpur-Nazirpur,5
Chittagong-Baraiyarhat,5
Narsingdi-Shibpur,4
Chapai- Kansat,4
Sunamganj-Jamalganj,4
B.Baria-Akhaura,4
Habiganj-Azmiriganj,4
Habiganj-Nabigonj,4
Moulvibazar-Kamalganj,4
Patuakhali-Kuakata,4
Khulna-Paikgacha,4
Noakhali-Subarnachar,3
Chittagong-Bahaddarhat,3
Kishoreganj-Mithamoin,3
Jhalokathi-Rajapur,3
Noakhali-Hatiya,3
Cox's Bazar-Kutubdia,2
Kurigram-Rowmari,2
Barishal-Hizla,2
Khagrachori-Manikchori,2
Lalmonirhat-Tushbhandar,2
Pathao Central FTL,1
Bogra-Dupchanchia,1
Central Inbound,1
Sylhet-Bishwanath,1
Mymensingh Fulbaria,1
Naogaon-Manda,1
Sylhet-Gowainghat,1
Central Processing OSD,1
