pickup_hub,orders
Dinajpur-Birganj,9
Coxsbazar-Teknaf,9
Chandpur-Matlab,9
Gopalganj-Muksudpur,9
B.Baria-Ashuganj,8
Pirojpur-Mathbaria,8
Netrokona-Kendua,8
Faridpur-Nagarkanda,7
Cumilla-Meghna,7
Barishal-Saheber Hat,6
Panchagarh-Tetulia,6
Jamalpur-Madarganj,5
Chapai-Rohonpur,5
Chittagong-Baraiyarhat,5
On-Demand,5
Barguna-Amtali,5
Sylhet-Companiganj,5
Pirojpur-Nazirpur,5
B.Baria-Akhaura,4
Habiganj-Azmiriganj,4
Narsingdi-Shibpur,4
Habiganj-Nabigonj,4
Patuakhali-Kuakata,4
Khulna-Paikgacha,4
Moulvibazar-Kamalganj,4
Sunamganj-Jamalganj,4
Chapai- Kansat,4
Kishoreganj-Mithamoin,3
Jhalokathi-Rajapur,3
Chittagong-Bahaddarhat,3
Noakhali-Subarnachar,3
Lalmonirhat-Tushbhandar,2
Cox's Bazar-Kutubdia,2
Barishal-Hizla,2
Noakhali-Hatiya,2
Khagrachori-Manikchori,2
Kurigram-Rowmari,2
Sylhet-Gowainghat,1
Central Inbound,1
Naogaon-Manda,1
Bogra-Dupchanchia,1
Central Processing OSD,1
Mymensingh Fulbaria,1
Sylhet-Bishwanath,1
Pathao Central FTL,1
